epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,0.36766984364107463,0.9480717778205872,0.24494145810604095,0.45862044003558033,0.9557755589485168,0.1598290503025055,0.01,83.57398470000771,84.91061849999824,00:01:25,0.9756249785423279,0.18762417137622833,0.26995253562927246,0.27724766731262207,0.979154646396637,0.041719842702150345,0.2437783181667328,0.19398897886276245
2,0.12063666637526688,0.9763143062591553,0.6301634311676025,0.5262177006446104,0.9615034461021423,0.35266661643981934,0.01,83.8065259000141,169.28240430000005,00:02:49,0.9912514686584473,0.5150628685951233,0.6301375031471252,0.7452898621559143,0.9829607605934143,0.19591769576072693,0.4655117094516754,0.39657047390937805
3,0.08173191513967917,0.9829100966453552,0.741269588470459,0.1980648033400589,0.975825846195221,0.7018539309501648,0.01,83.99964400001045,253.85616989999835,00:04:14,0.9936076998710632,0.6575437784194946,0.7239404320716858,0.8423243761062622,0.990265429019928,0.6194443106651306,0.665753960609436,0.8203636407852173
4,0.06834706419931122,0.9850488305091858,0.7804597020149231,0.2307525907249693,0.9773998856544495,0.7081953883171082,0.01,83.9943867999973,338.4386489000026,00:05:38,0.9941689372062683,0.7147572040557861,0.7535240650177002,0.8730980157852173,0.9908515810966492,0.6223916411399841,0.7071633338928223,0.795030951499939
5,0.05729132390766367,0.9872680306434631,0.8117296099662781,0.2343930834157263,0.9781718254089355,0.7032176852226257,0.01,84.13644080000813,423.15523820000817,00:07:03,0.9950193166732788,0.7525660991668701,0.7832292914390564,0.8993934392929077,0.9910206198692322,0.588505744934082,0.6653088331222534,0.8558382987976074
6,0.05066129941643447,0.9888779520988464,0.8329517841339111,0.37195534496144816,0.9753409028053284,0.6478936076164246,0.01,84.14995399999316,507.59113960000104,00:08:28,0.9956811666488647,0.7869377136230469,0.8041495084762573,0.9077681303024292,0.9897050261497498,0.6150328516960144,0.6174095273017883,0.7112385034561157
7,0.047083557601557906,0.9894812107086182,0.8427924513816833,0.22671757898427905,0.9767674207687378,0.701824426651001,0.01,84.26454899999953,592.1404295000102,00:09:52,0.9958953261375427,0.795732319355011,0.8146852850914001,0.9179596900939941,0.991234540939331,0.630096435546875,0.6960701942443848,0.7793067097663879
8,0.046578071214578395,0.9895683526992798,0.8444244265556335,0.22218689829469684,0.9819542169570923,0.7603232264518738,0.01,84.13891150000563,676.5655210999976,00:11:17,0.9958968758583069,0.8049756288528442,0.8132400512695312,0.9150576591491699,0.9922587871551514,0.6940717101097107,0.726010262966156,0.8608875274658203
9,0.03750730555877574,0.9916076064109802,0.8720850944519043,0.13056259840368267,0.9843406677246094,0.8040881156921387,0.01,84.16352749998623,761.3056183000008,00:12:41,0.9967384934425354,0.8432517647743225,0.8406744003295898,0.9323291778564453,0.9937177300453186,0.764552891254425,0.7533556222915649,0.8943557143211365
10,0.034358246763017616,0.9923151135444641,0.8817710876464844,0.23807169764955094,0.9817593097686768,0.7693093419075012,0.01,84.18790580000496,846.0617086999991,00:14:06,0.9970352053642273,0.8596343994140625,0.8488222360610962,0.936856746673584,0.9921846985816956,0.7432317733764648,0.7103812098503113,0.8543151021003723
