epoch,train_loss,train_pixel_accuracy,train_mean_foreground_dice,val_loss,val_pixel_accuracy,val_mean_foreground_dice,learning_rate,epoch_seconds,elapsed_seconds,elapsed_time,train_dice_class_0,train_dice_class_1,train_dice_class_2,train_dice_class_3,val_dice_class_0,val_dice_class_1,val_dice_class_2,val_dice_class_3
1,0.5015923153749523,0.8693227171897888,0.1436007171869278,0.13082538921644982,0.9695311188697815,0.5103743672370911,0.0001,94.48793539999315,95.84435250000388,00:01:36,0.9327530264854431,0.1533534824848175,0.1683165431022644,0.10913214832544327,0.9880765080451965,0.3405522406101227,0.5212894082069397,0.6692814826965332
2,0.06094868398563372,0.9842059016227722,0.7173064351081848,0.154045347821585,0.9665699005126953,0.4586099684238434,0.0001,84.7205604999981,181.12786120000237,00:03:01,0.9944901466369629,0.6610380411148071,0.6785098910331726,0.8123716115951538,0.9841204881668091,0.3724076449871063,0.45493751764297485,0.5484848618507385
3,0.03843390204797176,0.9889796376228333,0.8061966300010681,0.10433707955009479,0.9752662181854248,0.664469301700592,0.0001,85.02581060000375,266.4539440000008,00:04:26,0.9962102174758911,0.7899007797241211,0.7532965540885925,0.8753923773765564,0.9904503226280212,0.6267796754837036,0.6440662741661072,0.7225620150566101
4,0.028040811281423574,0.9912847876548767,0.8487229347229004,0.08124127814217526,0.9815105199813843,0.7590894103050232,0.0001,85.1058125999989,352.1784753000029,00:05:52,0.9969832897186279,0.8411195874214172,0.7984656095504761,0.9065835475921631,0.9921588897705078,0.7534043192863464,0.6831201910972595,0.8407436609268188
5,0.023227227175964336,0.9925404787063599,0.87161785364151,0.06946003703490139,0.9832653403282166,0.7753644585609436,0.0001,85.14319680000335,437.9249947999997,00:07:18,0.9973862171173096,0.8642372488975525,0.8277299404144287,0.9228864312171936,0.992917001247406,0.758288562297821,0.7042931914329529,0.8635117411613464
6,0.023319629157841283,0.9926161766052246,0.8735289573669434,0.08904993889684026,0.9785217046737671,0.7060139775276184,0.0001,85.18636809999589,523.7080878000052,00:08:44,0.9973827600479126,0.8741623163223267,0.8271272778511047,0.9192973375320435,0.9909760355949402,0.7333226203918457,0.6500129699707031,0.7347063422203064
7,0.01987476246637354,0.9933281540870667,0.8844906687736511,0.07067079123677338,0.9840420484542847,0.788807213306427,0.0001,85.19421359999978,609.2100831999996,00:10:09,0.9976909160614014,0.8838921785354614,0.8410256505012512,0.9285539984703064,0.9930223822593689,0.7833611369132996,0.7311975359916687,0.8518630862236023
8,0.01675421744948362,0.994212806224823,0.9000555872917175,0.07931759850903947,0.9827997088432312,0.7670896649360657,0.0001,85.2107812999966,695.044518200004,00:11:35,0.9979988932609558,0.8978918790817261,0.8636619448661804,0.9386128187179565,0.9922100305557251,0.7081963419914246,0.7307685017585754,0.862304151058197
9,0.014028274346390068,0.9950422644615173,0.9139163494110107,0.07327657552027607,0.9847068786621094,0.8034797310829163,0.0001,85.22985830000107,780.5675880000053,00:13:01,0.9983105659484863,0.9142759442329407,0.8789986371994019,0.9484743475914001,0.9931871294975281,0.8013206124305725,0.7383514642715454,0.8707671165466309
10,0.015150893117471928,0.994644284248352,0.9072133898735046,0.07007203513587063,0.9843671321868896,0.7919511795043945,0.0001,85.26228209999681,866.4240121000039,00:14:26,0.9981667995452881,0.9108012914657593,0.8670548796653748,0.9437841176986694,0.9934077858924866,0.7624271512031555,0.7450132966041565,0.8684132099151611
11,0.011928255266482096,0.9956228137016296,0.9234204292297363,0.0729409656972988,0.9850090146064758,0.8030951619148254,0.0001,85.24695909999718,951.9675160000043,00:15:52,0.9985369443893433,0.9278602004051208,0.8889986276626587,0.9534026384353638,0.9932899475097656,0.7877379059791565,0.7424180507659912,0.8791297674179077
12,0.011280172143582018,0.995765745639801,0.9254569411277771,0.08055674966877914,0.9853826761245728,0.8114151954650879,0.0001,85.24657460000162,1037.5057310000047,00:17:18,0.9986069798469543,0.9312217831611633,0.8908315896987915,0.9543173909187317,0.9934751987457275,0.7977362275123596,0.7558278441429138,0.8806815147399902
13,0.011409802042596982,0.995699405670166,0.9252858757972717,0.07718358143546523,0.9850447177886963,0.806257426738739,0.0001,85.23470059999818,1123.3356275000042,00:18:43,0.998539388179779,0.9244176745414734,0.8951238393783569,0.9563162922859192,0.9934250712394714,0.7896071076393127,0.7562163472175598,0.8729488849639893
14,0.01899288654186907,0.9937381148338318,0.8943142890930176,0.0719272478926867,0.9849013686180115,0.8010585308074951,0.0001,85.24897390000115,1208.8789061000061,00:20:09,0.9977205991744995,0.902016282081604,0.8523987531661987,0.9285279512405396,0.9933082461357117,0.7955389022827148,0.732357919216156,0.8752787709236145
15,0.011663987610116116,0.9956304430961609,0.9237461686134338,0.06499989760571463,0.9862450957298279,0.822319507598877,0.0001,85.25565430000279,1294.4330303000024,00:21:34,0.9985346794128418,0.9309690594673157,0.8893036842346191,0.9509658813476562,0.9939562082290649,0.8202667832374573,0.7625465393066406,0.8841453194618225
16,0.009985959961506573,0.996132493019104,0.9321082234382629,0.07432711816686678,0.9858487248420715,0.818335235118866,0.0001,85.2783574999994,1380.2919438000026,00:23:00,0.9987194538116455,0.9372403025627136,0.9007335305213928,0.9583510160446167,0.9937450289726257,0.804877519607544,0.7646544575691223,0.8854737877845764
17,0.008929419763609088,0.9964810609817505,0.9375620484352112,0.07185858606863867,0.9857756495475769,0.8187835812568665,0.0001,85.3248448000013,1465.9139104999995,00:24:26,0.9988644123077393,0.9438721537590027,0.9076377153396606,0.961176335811615,0.993780791759491,0.8005282878875732,0.7709404826164246,0.8848819732666016
18,0.011555668147055552,0.9956661462783813,0.9256910681724548,0.06867509463025048,0.9859461784362793,0.8207287192344666,0.0001,85.28268829999433,1551.500668700006,00:25:52,0.9984886050224304,0.9266135692596436,0.896411120891571,0.9540483355522156,0.9937593340873718,0.822869062423706,0.7614787220954895,0.8778384327888489
19,0.008455997144001668,0.9966193437576294,0.9398419260978699,0.07686880546407823,0.9860791563987732,0.8189730644226074,0.0001,85.31225039999845,1637.109347800004,00:27:17,0.9989163875579834,0.9463568329811096,0.9109908938407898,0.9621779918670654,0.9937512278556824,0.8079290986061096,0.764051079750061,0.8849389553070068
20,0.007758825057596743,0.9968643188476562,0.9437587261199951,0.07502353004488675,0.9864311814308167,0.8264426589012146,0.0001,85.46314849999908,1722.8639410000033,00:28:43,0.9990147352218628,0.9520959854125977,0.9152458310127258,0.9639343619346619,0.9938710331916809,0.8220987915992737,0.7689576148986816,0.8882716298103333
21,0.007346181905621321,0.9970011115074158,0.9461259841918945,0.07140615962963691,0.986888587474823,0.8323202133178711,0.0001,85.27789110000595,1808.7727737000023,00:30:09,0.9990614056587219,0.9545938968658447,0.9183692336082458,0.965414822101593,0.9941297769546509,0.8280439376831055,0.7780903577804565,0.8908262848854065
22,0.007064810583443031,0.9971027374267578,0.9475774168968201,0.07789599774953197,0.9865486025810242,0.8285369873046875,0.0001,91.89883009999903,1901.2580572000006,00:31:41,0.9991080164909363,0.956080436706543,0.9212449193000793,0.9654068350791931,0.9939432144165039,0.8224673271179199,0.773226261138916,0.8899173140525818
23,0.007183170901013172,0.9970574378967285,0.9472803473472595,0.08441536194012365,0.9855944514274597,0.814842164516449,0.0001,87.02921779999451,1988.5856274000034,00:33:09,0.9990720748901367,0.9547895193099976,0.9205994606018066,0.9664520621299744,0.9934513568878174,0.7938389778137207,0.7646992802619934,0.8859882354736328
24,0.011768504150056792,0.9956455826759338,0.9253671169281006,0.08115290248029453,0.9859045743942261,0.8171985745429993,0.0001,85.3010615000021,2074.1868587999998,00:34:34,0.9984736442565918,0.9225244522094727,0.8992728590965271,0.954304039478302,0.993586540222168,0.797491192817688,0.7666592001914978,0.8874454498291016
25,0.008773286017905363,0.9965169429779053,0.9387992024421692,0.07536332444711165,0.9843771457672119,0.8087264895439148,0.0001,85.32535420000204,2159.816225900002,00:36:00,0.9988457560539246,0.9392446875572205,0.9141991138458252,0.9629537463188171,0.9929829239845276,0.7820085287094116,0.7603946328163147,0.8837763071060181
26,0.008670568472241937,0.9965959191322327,0.9404931664466858,0.06736737707589957,0.9871113300323486,0.8361821174621582,0.0001,84.49688710000191,2244.627342400003,00:37:25,0.9988613128662109,0.943873941898346,0.9141027927398682,0.9635028839111328,0.9942383170127869,0.8299100399017334,0.7750886678695679,0.9035477638244629
27,0.007708604753947537,0.9968786835670471,0.9447416663169861,0.08983085055979975,0.9859156608581543,0.8153479695320129,0.0001,84.30133420000493,2329.5077660000024,00:38:50,0.9989866018295288,0.9492875933647156,0.9193445444107056,0.9655928611755371,0.9937076568603516,0.7905417084693909,0.7681541442871094,0.8873480558395386
28,0.006413413861449154,0.9973204135894775,0.9515158534049988,0.08960665340092093,0.9864729642868042,0.8238264918327332,0.0001,84.35630330000276,2414.1681106000033,00:40:14,0.9991750717163086,0.9595327973365784,0.9270625710487366,0.9679521322250366,0.9939558506011963,0.8029568791389465,0.7750380635261536,0.893484354019165
29,0.006059841624060246,0.9974573850631714,0.9536709189414978,0.09481325152424727,0.9864168763160706,0.8236636519432068,0.0001,84.44024890000583,2498.9352252000026,00:41:39,0.9992303848266602,0.9620189070701599,0.9300837516784668,0.9689099788665771,0.9939321279525757,0.7998096346855164,0.7779476046562195,0.893233597278595
30,0.005809275545143511,0.997555136680603,0.9553123116493225,0.09373259380768566,0.9865186810493469,0.8249543309211731,0.0001,84.48212390000117,2583.725241800006,00:43:04,0.9992658495903015,0.9633837938308716,0.9327085614204407,0.9698445796966553,0.9939825534820557,0.8021020889282227,0.7761938571929932,0.896567165851593
31,0.005668863825504856,0.9976120591163635,0.9563822746276855,0.0879255400430212,0.9867358803749084,0.8286156058311462,0.0001,84.47982999999658,2668.5048549000057,00:44:29,0.9992812275886536,0.9641173481941223,0.9343259930610657,0.9707034826278687,0.9941933751106262,0.8108230829238892,0.7840642333030701,0.8909595608711243
32,0.005625135407895721,0.9976280331611633,0.9567603468894958,0.08926164839954619,0.9867254495620728,0.8297073245048523,0.0001,84.48911609999777,2753.316102100005,00:45:53,0.9992833137512207,0.9648100733757019,0.9344208240509033,0.9710500836372375,0.9940361976623535,0.811610758304596,0.7782480120658875,0.8992630839347839
33,0.007133754639388565,0.997127115726471,0.948993444442749,0.09933292444914898,0.9852754473686218,0.8136035799980164,0.0001,84.44635829999606,2838.0646391000046,00:47:18,0.999070942401886,0.9529722929000854,0.9261382818222046,0.967869758605957,0.9932111501693726,0.79303377866745,0.7608125805854797,0.8869643807411194
34,0.010193215929557931,0.9961432814598083,0.9336073994636536,0.08515511829166968,0.9863615036010742,0.8269869685173035,0.0001,84.49694889999955,2922.8895585000064,00:48:43,0.9986652731895447,0.9367426037788391,0.9058239459991455,0.9582557678222656,0.9938254952430725,0.8212805986404419,0.770571768283844,0.8891083598136902
35,0.006251939947223981,0.9973945617675781,0.953302800655365,0.09863288858955238,0.9862965941429138,0.8241598010063171,0.0001,84.51453320000292,3007.7119571000003,00:50:08,0.999178409576416,0.9585244059562683,0.9312968254089355,0.9700869917869568,0.9937031865119934,0.8169305920600891,0.7638283371925354,0.8917205333709717
